"Year","TakeMethod","Unit","UnitID","Hunters","Harvest","Success","Days","Antlered","Antlerless","%4+Pts","%5+Pts","%Whitetail"
2006,"Any Weapon","1",1,6988,3658,52.3,,2534,1071,59.8,28.9,89.7
2006,"Archery","1",1,627,122,19.5,,83,37,74.8,29.9,93.4
2006,"Muzzleloader","1",1,39,9,23.1,,7,2,57.1,42.9,88.9
2006,"All Weapons Combined","1",1,7654,3798,49.6,51326,2629,1113,60.2,29,89.8
2006,"Any Weapon","2",2,3205,1579,49.3,,1076,477,58,29.3,94.9
2006,"Archery","2",2,314,46,14.6,,24,20,62.5,16.7,100
2006,"Muzzleloader","2",2,11,4,36.4,,2,2,,50,100
2006,"All Weapons Combined","2",2,3530,1630,46.2,24413,1102,499,58.1,29,95.1
2006,"Any Weapon","3",3,3423,1403,41,,945,437,58.4,29.7,95.9
2006,"Archery","3",3,440,89,20.2,,64,25,51.2,21.7,97.8
2006,"Muzzleloader","3",3,29,6,20.7,,5,1,60,40,100
2006,"All Weapons Combined","3",3,3892,1499,38.5,22805,1015,463,57.9,29.2,96
2006,"Any Weapon","4",4,3867,735,19,,468,239,49.5,22.3,75.1
2006,"Archery","4",4,741,57,7.7,,45,10,71.2,62.3,80.7
2006,"Muzzleloader","4",4,755,198,26.2,,143,53,59.9,28.6,92.4
2006,"All Weapons Combined","4",4,5364,997,18.6,32981,660,304,53.3,26.6,79
2006,"Any Weapon","4A",5,572,133,23.3,,97,32,61.9,21.6,92.5
2006,"Archery","4A",5,113,21,18.6,,17,2,,100,100
2006,"Muzzleloader","4A",5,27,2,7.4,,1,,,,100
2006,"All Weapons Combined","4A",5,713,156,21.9,4032,115,34,68,33.3,93.6
2006,"Any Weapon","5",6,1915,988,51.6,,709,265,64.6,25,95.4
2006,"Archery","5",6,153,48,31.4,,23,25,78.3,43.5,97.9
2006,"Muzzleloader","5",6,6,1,16.7,,1,,,,100
2006,"All Weapons Combined","5",6,2075,1038,50,13453,733,291,65,25.5,95.6
2006,"Any Weapon","6",7,2758,1120,40.6,,819,280,67.1,33.7,89.2
2006,"Archery","6",7,256,20,7.8,,12,8,41.7,25,70
2006,"Muzzleloader","6",7,30,3,10,,3,,100,33.3,100
2006,"All Weapons Combined","6",7,3045,1143,37.5,20233,834,288,66.9,33.6,88.9
2006,"Any Weapon","7",8,682,107,15.7,,90,13,64.4,28.3,34.6
2006,"Archery","7",8,109,5,4.6,,1,4,,,100
2006,"Muzzleloader","7",8,171,35,20.5,,31,4,61.3,25.8,85.7
2006,"All Weapons Combined","7",8,962,147,15.3,6427,122,21,63.9,27.5,49
2006,"Any Weapon","8",9,2484,1186,47.7,,830,342,67.4,31.9,96.6
2006,"Archery","8",9,83,10,12,,6,4,50,16.7,90
2006,"Muzzleloader","8",9,31,8,25.8,,3,5,,,87.5
2006,"All Weapons Combined","8",9,2598,1205,46.4,14364,839,351,67.1,31.7,96.5
2006,"Any Weapon","8A",10,4203,1972,46.9,,1367,575,64.6,27.7,97.2
2006,"Archery","8A",10,154,9,5.8,,8,1,62.5,12.5,100
2006,"Muzzleloader","8A",10,139,78,56.1,,7,71,,,97.4
2006,"All Weapons Combined","8A",10,4496,2059,45.8,29321,1382,647,64.5,27.5,97.2
2006,"Any Weapon","9",11,144,38,26.4,,34,4,79.5,73.6,81.6
2006,"Archery","9",11,28,1,3.6,,,1,,,100
2006,"Muzzleloader","9",11,2,,,,,,0,0,0
2006,"All Weapons Combined","9",11,174,39,22.4,1001,34,5,79.5,73.6,82.1
2006,"Any Weapon","10",13,677,179,26.4,,131,38,49.6,22.1,85.5
2006,"Archery","10",13,30,5,16.7,,4,1,75,50,80
2006,"Muzzleloader","10",13,26,1,3.8,,,1,,,100
2006,"All Weapons Combined","10",13,733,185,25.2,4012,135,40,50.3,22.9,85.4
2006,"Any Weapon","10A",14,5034,2284,45.4,,1685,534,70.9,26.4,96.1
2006,"Archery","10A",14,276,22,8,,16,4,81.2,31.2,95.5
2006,"Muzzleloader","10A",14,266,106,39.8,,15,89,33.3,26.7,98.1
2006,"All Weapons Combined","10A",14,5576,2416,43.3,35248,1717,628,70.6,26.5,96.2
2006,"Any Weapon","11",15,1504,612,40.7,,417,184,74.1,38.6,98.7
2006,"Archery","11",15,4,2,50,,2,,,,100
2006,"Muzzleloader","11",15,1,,,,,,0,0,0
2006,"All Weapons Combined","11",15,1509,614,40.7,8488,419,184,74.2,38.4,98.7
