"Year","TakeMethod","Unit","UnitID","Hunters","Harvest","Success","Days","Antlered","Antlerless","%4+Pts","%5+Pts","%Whitetail"
2013,"Any Weapon","1",1,7488,3174,42.4,51039,2208,961,57.2,17.6,91.6
2013,"Archery","1",1,706,101,14.3,4860,72,29,69,34.1,96
2013,"Muzzleloader","1",1,5,17,318.5,19,16,1,33.3,0,74.4
2013,"All Weapons Combined","1",1,8199,3292,40.2,55918,2297,991,57.4,18,91.6
2013,"Any Weapon","2",2,4042,1311,32.4,27905,883,427,51.6,18,98.1
2013,"Archery","2",2,492,83,17,3211,64,19,43.2,16.2,94.7
2013,"Muzzleloader","2",2,12,10,83,58,5,4,100,81.5,100
2013,"All Weapons Combined","2",2,4545,1404,30.9,31174,953,451,51.3,18.3,97.9
2013,"Any Weapon","3",3,4677,1415,30.3,26325,1018,392,55.5,18.1,98.7
2013,"Archery","3",3,656,108,16.4,4168,59,49,54.8,19.4,100
2013,"Muzzleloader","3",3,29,6,21.9,83,5,1,18.5,18.5,100
2013,"All Weapons Combined","3",3,5362,1529,28.5,30576,1082,443,55.3,18.1,98.8
2013,"Any Weapon","4",4,3715,472,12.7,20605,306,165,49.9,15.4,87.2
2013,"Archery","4",4,790,69,8.8,5272,41,28,34.4,27.1,97.1
2013,"Muzzleloader","4",4,756,135,17.9,3468,111,24,64.4,44.8,97
2013,"All Weapons Combined","4",4,5262,676,12.8,29344,459,217,52,23.6,90.2
2013,"Any Weapon","4A",5,639,192,30,3454,124,67,59.9,20.8,94.4
2013,"Archery","4A",5,78,10,13.3,429,4,6,100,25,100
2013,"Muzzleloader","4A",5,2,2,100,3,1,1,100,0,100
2013,"All Weapons Combined","4A",5,719,204,28.4,3885,129,75,61.5,20.7,94.7
2013,"Any Weapon","5",6,3142,1202,38.3,20183,856,342,60.6,20.2,98.4
2013,"Archery","5",6,366,50,13.7,2306,31,19,82.8,48.4,100
2013,"Muzzleloader","5",6,11,3,26.7,60,2,1,50,0,100
2013,"All Weapons Combined","5",6,3519,1256,35.7,22549,889,362,61.4,21.1,98.5
2013,"Any Weapon","6",7,2757,1091,39.6,17616,784,306,58.6,21.1,94.4
2013,"Archery","6",7,209,25,11.8,1440,15,10,72.9,29.7,95.9
2013,"Muzzleloader","6",7,9,8,87.9,22,7,1,0,0,87
2013,"All Weapons Combined","6",7,2975,1123,37.8,19078,806,317,58.4,21,94.3
2013,"Any Weapon","7",8,273,52,19,1465,46,6,40.6,26.6,46.7
