"Year","TakeMethod","Unit","UnitID","Hunters","Harvest","Success","Days","Antlered","Antlerless","%4+Pts","%5+Pts","%Whitetail"
2012,"Any Weapon","1",1,7996,3664,45.8,56455,2545,1111,57.5,23.5,93.4
2012,"Archery","1",1,835,135,16.1,5864,97,38,53.1,18,97.8
2012,"Muzzleloader","1",1,8,7,82.4,79,5,2,80,20,100
2012,"All Weapons Combined","1",1,8186,3805,46.5,62398,2647,1151,57.4,23.3,93.5
2012,"Any Weapon","2",2,4220,1531,36.3,30227,994,533,55,21.9,98.3
2012,"Archery","2",2,493,103,21,3613,65,39,61.9,33.9,100
2012,"Muzzleloader","2",2,3,14,466.9,18,9,6,23.5,11.8,100
2012,"All Weapons Combined","2",2,4390,1648,37.5,33858,1067,577,55.2,22.5,98.4
2012,"Any Weapon","3",3,5018,1556,31,28002,1040,516,57.8,20.2,98.4
2012,"Archery","3",3,675,109,16.1,3994,49,60,66.1,28.8,99.1
2012,"Muzzleloader","3",3,20,11,55.3,142,10,1,20.4,0,100
2012,"All Weapons Combined","3",3,5276,1675,31.8,32138,1098,577,57.8,20.4,98.5
2012,"Any Weapon","4",4,4187,675,16.1,23911,427,248,60.4,20.6,78.9
2012,"Archery","4",4,967,71,7.3,6717,51,20,61.5,19.2,95.7
2012,"Muzzleloader","4",4,928,191,20.6,3969,132,55,60.2,27,92.4
2012,"All Weapons Combined","4",4,5102,941,18.4,34597,610,322,60.5,21.9,83
2012,"Any Weapon","4A",5,667,172,25.8,3601,119,53,46.4,16,95.6
2012,"Archery","4A",5,102,3,3,779,2,1,50,0,100
2012,"Muzzleloader","4A",5,6,5,69.3,22,5,,100,100,100
2012,"All Weapons Combined","4A",5,710,179,25.3,4402,126,54,48.4,18.7,95.8
2012,"Any Weapon","5",6,3183,1406,44.2,20748,957,449,70.9,28.3,99.1
2012,"Archery","5",6,305,54,17.7,1432,29,25,79.4,17.4,94.3
2012,"Muzzleloader","5",6,15,6,36.5,30,5,1,100,0,100
2012,"All Weapons Combined","5",6,3278,1466,44.7,22210,991,475,71.3,27.8,98.9
2012,"Any Weapon","6",7,3038,1209,39.8,19024,895,314,53.6,21.2,92.3
2012,"Archery","6",7,246,15,6.1,1674,12,3,75,0,80
2012,"Muzzleloader","6",7,12,4,38.3,47,,4,,,100
2012,"All Weapons Combined","6",7,3122,1228,39.3,20745,907,322,53.9,20.9,92.2
2012,"Any Weapon","7",8,328,28,8.6,1915,18,11,54.3,31.4,78.7
2012,"Archery","7",8,68,,0,493,,,,,
2012,"Muzzleloader","7",8,36,10,28,145,10,,55,45,90
2012,"All Weapons Combined","7",8,399,38,9.6,2553,28,11,54.5,36.4,81.6
2012,"Any Weapon","8",9,2946,1295,44,17858,928,364,66,28,96.8
2012,"Archery","8",9,131,8,5.8,927,4,4,75,0,86.9
2012,"Muzzleloader","8",9,14,1,7.2,30,,1,,,100
2012,"All Weapons Combined","8",9,2959,1304,44.1,18815,932,369,66.1,27.8,96.7
2012,"Any Weapon","8A",10,4802,2024,42.2,31551,1424,590,65.2,25.9,97.5
2012,"Archery","8A",10,209,16,7.7,1879,12,4,75,58.3,100
2012,"Muzzleloader","8A",10,218,39,18,852,2,37,100,100,100
2012,"All Weapons Combined","8A",10,4907,2079,42.4,34282,1438,631,65.3,26.3,97.6
2012,"Any Weapon","9",11,57,7,11.9,290,7,,85.3,14.7,29.4
2012,"Archery","9",11,18,,0,196,,,,,
2012,"Muzzleloader","9",11,5,1,20,13,1,,100,0,0
2012,"All Weapons Combined","9",11,80,8,9.8,499,8,,87.2,12.8,25.6
2012,"Any Weapon","10",13,623,182,29.2,3353,128,54,64.6,17.9,92.6
2012,"Archery","10",13,30,1,3.3,218,,1,,,100
2012,"Muzzleloader","10",13,9,1,11.2,34,,1,,,100
2012,"All Weapons Combined","10",13,646,184,28.5,3605,128,56,64.6,17.9,92.7
2012,"Any Weapon","10A",14,5890,2724,46.2,41895,1943,770,59.4,18.8,99.2
2012,"Archery","10A",14,281,18,6.6,2427,11,8,36.8,18.4,94.6
2012,"Muzzleloader","10A",14,315,99,31.5,1372,5,95,100,0,100
2012,"All Weapons Combined","10A",14,6035,2842,47.1,45695,1958,872,59.4,18.7,99.2
2012,"Any Weapon","11",15,2001,711,35.5,11291,540,170,76.5,28,99.9
2012,"Archery","11",15,11,,0,30,,,,,
2012,"Muzzleloader","11",15,8,,0,94,,,,,
2012,"All Weapons Combined","11",15,1997,711,35.6,11415,540,170,76.5,28,99.9
2012,"Any Weapon","11A",16,2702,1359,50.3,14226,999,360,74.2,25.4,99.6
2012,"Archery","11A",16,93,43,46.2,523,42,1,79.7,42.4,71.1
2012,"Muzzleloader","11A",16,5,,0,10,,,,,
2012,"All Weapons Combined","11A",16,2747,1401,51,14759,1041,361,74.4,26.1,98.7
2012,"Any Weapon","12",17,241,70,29.2,1271,49,22,79.5,25.9,90.1
2012,"Archery","12",17,16,,0,95,,,,,
2012,"Muzzleloader","12",17,1,,0,2,,,,,
2012,"All Weapons Combined","12",17,253,70,27.9,1368,49,22,79.5,25.9,90.1
2012,"Any Weapon","13",18,479,168,35,2540,144,24,66.4,14.6,96.7
2012,"Archery","13",18,,2,,,2,,50,50,100
2012,"All Weapons Combined","13",18,478,170,35.5,2540,146,24,66.1,15.1,96.8
2012,"Any Weapon","14",19,1145,358,31.3,5687,288,70,57.6,20.3,99.2
2012,"Archery","14",19,22,2,9,220,2,,0,0,100
2012,"Muzzleloader","14",19,8,1,12.6,16,1,,0,0,100
2012,"All Weapons Combined","14",19,1170,361,30.8,5923,291,70,57,20.1,99.2
2012,"Any Weapon","15",20,2001,815,40.7,11163,523,292,54.8,16.3,98.8
2012,"Archery","15",20,333,87,26,2201,55,32,73.3,21.2,100
2012,"Muzzleloader","15",20,2,6,303.8,8,5,1,60.6,0,100
2012,"All Weapons Combined","15",20,2251,908,40.3,13372,583,325,56.6,16.6,98.9
2012,"Any Weapon","16",21,989,488,49.3,4680,362,122,56.8,13.1,98.7
2012,"Archery","16",21,11,1,9.2,54,1,,100,100,100
2012,"Muzzleloader","16",21,166,65,39.1,686,38,26,55.5,13.1,100
