"Year","TakeMethod","Unit","UnitID","Hunters","Harvest","Success","Days","Antlered","Antlerless","%4+Pts","%5+Pts","%Whitetail"
2003,"Any Weapon","1",1,13500,2776,21,85630,1926,847,58,24,93
2003,"Archery","1",1,549,75,14,3700,47,27,72,28,84
2003,"Muzzleloader","1",1,0,0,0,0,0,0,0,0,0
2003,"All Weapons Combined","1",1,6750,2776,41.1,42815,1926,847,,,
2003,"Any Weapon","2",2,5732,964,17,34314,663,297,57,27,100
2003,"Archery","2",2,228,27,12,1176,18,8,81,44,100
2003,"Muzzleloader","2",2,0,0,0,0,0,0,0,0,0
2003,"All Weapons Combined","2",2,2866,964,33.6,17157,663,297,,,
2003,"Any Weapon","3",3,7838,1147,15,40836,764,382,59,26,99
2003,"Archery","3",3,407,68,17,2306,37,31,61,29,93
2003,"Muzzleloader","3",3,0,0,0,0,0,0,0,0,0
2003,"All Weapons Combined","3",3,3919,1147,29.3,20418,764,382,,,
2003,"Any Weapon","4",4,7646,403,5,43324,258,143,45,20,81
2003,"Archery","4",4,667,32,5,4440,16,15,36,7,88
2003,"Muzzleloader","4",4,793,151,19,3691,118,31,78,35,90
2003,"All Weapons Combined","4",4,3823,403,10.5,21662,258,143,,,
2003,"Any Weapon","4A",5,1156,138,12,5440,94,42,60,28,92
2003,"Archery","4A",5,56,5,9,369,3,2,67,33,100
2003,"Muzzleloader","4A",5,0,0,0,0,0,0,0,0,0
2003,"All Weapons Combined","4A",5,578,138,23.9,2720,94,42,,,
2003,"Any Weapon","5",6,3314,690,21,19622,486,203,61,31,99
2003,"Archery","5",6,122,15,12,685,12,3,73,45,100
2003,"Muzzleloader","5",6,0,0,0,0,0,0,0,0,0
2003,"All Weapons Combined","5",6,1657,690,41.6,9811,486,203,,,
2003,"Any Weapon","6",7,4330,817,19,25558,562,255,61,25,96
2003,"Archery","6",7,220,11,5,1334,6,4,83,33,91
2003,"Muzzleloader","6",7,0,0,0,0,0,0,0,0,0
2003,"All Weapons Combined","6",7,2165,817,37.7,12779,562,255,,,
2003,"Any Weapon","7",8,1298,80,6,6876,60,20,52,10,52
2003,"Archery","7",8,123,2,2,856,2,0,50,0,100
2003,"Muzzleloader","7",8,175,46,26,770,33,12,73,40,85
2003,"All Weapons Combined","7",8,649,80,12.3,3438,60,20,,,
2003,"Any Weapon","8",9,4642,881,19,27036,625,256,63,29,96
2003,"Archery","8",9,90,7,8,466,5,2,40,20,71
2003,"Muzzleloader","8",9,0,0,0,0,0,0,0,0,0
2003,"All Weapons Combined","8",9,2321,881,38,13518,625,256,,,
2003,"Any Weapon","8A",10,9294,1595,17,57366,1093,498,64,27,98
2003,"Archery","8A",10,199,15,8,1352,11,4,50,20,100
2003,"Muzzleloader","8A",10,194,45,23,588,6,38,33,17,98
2003,"All Weapons Combined","8A",10,4647,1595,34.3,28683,1093,498,,,
2003,"Any Weapon","9",11,362,14,4,2280,11,3,37,19,64
2003,"Archery","9",11,0,0,0,0,0,0,0,0,0
2003,"Muzzleloader","9",11,0,0,0,0,0,0,0,0,0
2003,"All Weapons Combined","9",11,181,14,7.7,1140,11,3,,,
2003,"Any Weapon","10",13,1518,161,11,8028,109,49,54,19,83
2003,"Archery","10",13,29,3,10,164,2,1,0,0,33
2003,"Muzzleloader","10",13,0,0,0,0,0,0,0,0,0
2003,"All Weapons Combined","10",13,759,161,21.2,4014,109,49,,,
2003,"Any Weapon","10A",14,10420,2034,20,67994,1448,579,63,25,97
2003,"Archery","10A",14,321,20,6,2490,14,5,62,46,90
2003,"Muzzleloader","10A",14,405,127,31,1625,11,114,44,22,97
2003,"All Weapons Combined","10A",14,5210,2034,39,33997,1448,579,,,
2003,"Any Weapon","11",15,1486,453,30,7006,355,97,69,35,100
2003,"Archery","11",15,0,0,0,0,0,0,0,0,0
2003,"Muzzleloader","11",15,0,0,0,0,0,0,0,0,0
2003,"All Weapons Combined","11",15,1486,453,30.5,7006,355,97,,,
2003,"Any Weapon","11A",16,1877,766,41,8986,541,220,69,29,98
2003,"Archery","11A",16,91,12,13,453,12,0,80,30,67
2003,"Muzzleloader","11A",16,0,0,0,0,0,0,0,0,0
2003,"All Weapons Combined","11A",16,1877,766,40.8,8986,541,220,,,
2003,"Any Weapon","12",17,770,94,12,4214,78,15,66,22,86
2003,"Archery","12",17,14,0,0,102,0,0,0,0,0
2003,"Muzzleloader","12",17,0,0,0,0,0,0,0,0,0
2003,"All Weapons Combined","12",17,385,94,24.4,2107,78,15,,,
2003,"Any Weapon","13",18,407,134,33,1846,98,36,59,26,95
2003,"Archery","13",18,0,0,0,0,0,0,0,0,0
2003,"Muzzleloader","13",18,0,0,0,0,0,0,0,0,0
2003,"All Weapons Combined","13",18,407,134,32.9,1846,98,36,,,
2003,"Any Weapon","14",19,1128,299,27,5101,221,76,55,21,100
2003,"Archery","14",19,0,0,0,0,0,0,0,0,0
2003,"Muzzleloader","14",19,0,0,0,0,0,0,0,0,0
2003,"All Weapons Combined","14",19,1128,299,26.5,5101,221,76,,,
2003,"Any Weapon","15",20,4438,861,19,22666,587,272,51,18,94
2003,"Archery","15",20,355,90,25,2204,55,34,67,38,92
2003,"Muzzleloader","15",20,0,0,0,0,0,0,0,0,0
2003,"All Weapons Combined","15",20,2219,861,38.8,11333,587,272,,,
2003,"Any Weapon","16",21,1700,282,17,8200,208,73,63,17,95
2003,"Archery","16",21,0,0,0,0,0,0,0,0,0
2003,"Muzzleloader","16",21,217,85,39,766,59,26,54,14,99
2003,"All Weapons Combined","16",21,850,282,33.2,4100,208,73,,,
2003,"Any Weapon","16A",22,326,45,14,2054,28,16,60,20,80
2003,"Archery","16A",22,0,0,0,0,0,0,0,0,0
2003,"Muzzleloader","16A",22,0,0,0,0,0,0,0,0,0
2003,"All Weapons Combined","16A",22,163,45,27.6,1027,28,16,,,
2003,"Any Weapon","17",23,964,128,13,6696,113,13,69,23,42
2003,"Archery","17",23,0,0,0,0,0,0,0,0,0
2003,"Muzzleloader","17",23,0,0,0,0,0,0,0,0,0
2003,"All Weapons Combined","17",23,482,128,26.6,3348,113,13,,,
2003,"Any Weapon","18",24,555,177,32,2244,133,44,53,17,99
2003,"Archery","18",24,0,0,0,0,0,0,0,0,0
2003,"Muzzleloader","18",24,0,0,0,0,0,0,0,0,0
2003,"All Weapons Combined","18",24,555,177,31.9,2244,133,44,,,
2003,"Any Weapon","19",25,562,70,12,3210,60,10,62,22,23
2003,"Archery","19",25,0,0,0,0,0,0,0,0,0
2003,"Muzzleloader","19",25,0,0,0,0,0,0,0,0,0
2003,"All Weapons Combined","19",25,281,70,24.9,1605,60,10,,,
2003,"Any Weapon","19A",26,850,95,11,4498,85,9,34,9,9
2003,"Archery","19A",26,53,4,8,385,3,1,100,100,25
2003,"Muzzleloader","19A",26,0,0,0,0,0,0,0,0,0
2003,"All Weapons Combined","19A",26,425,95,22.4,2249,85,9,,,
2003,"Any Weapon","20",27,510,69,14,3258,58,9,67,29,42
2003,"Archery","20",27,0,0,0,0,0,0,0,0,0
2003,"Muzzleloader","20",27,0,0,0,0,0,0,0,0,0
2003,"All Weapons Combined","20",27,255,69,27.1,1629,58,9,,,
2003,"Any Weapon","20A",28,476,38,8,2788,35,3,58,22,11
2003,"Archery","20A",28,0,0,0,0,0,0,0,0,0
2003,"Muzzleloader","20A",28,0,0,0,0,0,0,0,0,0
2003,"All Weapons Combined","20A",28,238,38,16,1394,35,3,,,
