"Year","TakeMethod","Unit","UnitID","Hunters","Harvest","Success","Days","Antlered","Antlerless","%4+Pts","%5+Pts","%Whitetail"
2008,"Any Weapon","1",1,8639,2930,33.9,64115,2171,739,61.3,25,86.5
2008,"Archery","1",1,852,183,21.4,6901,135,48,67.1,41.5,93.2
2008,"Muzzleloader","1",1,73,21,28.6,430,20,,10.1,5,54.9
2008,"All Weapons Combined","1",1,9568,3134,32.8,71446,2326,787,61.2,25.8,86.7
2008,"Any Weapon","2",2,4067,1268,31.2,29441,928,335,65.2,23.1,97.6
2008,"Archery","2",2,362,53,14.7,2883,42,11,83,44.7,100
2008,"Muzzleloader","2",2,14,4,27.8,87,4,,100,50,100
2008,"All Weapons Combined","2",2,4444,1327,29.9,32411,975,346,66.1,24.1,97.7
2008,"Any Weapon","3",3,4645,1278,27.5,29906,917,357,65,24,97.9
2008,"Archery","3",3,632,125,19.8,4379,57,68,78.6,14.3,100
2008,"Muzzleloader","3",3,52,3,5.7,175,2,1,100,50,100
2008,"All Weapons Combined","3",3,5329,1407,26.4,34460,976,426,65.8,23.5,98.1
2008,"Any Weapon","4",4,4670,543,11.6,29296,364,170,62,27.5,85.5
2008,"Archery","4",4,876,59,6.7,7186,37,22,77.7,37.4,84
2008,"Muzzleloader","4",4,831,135,16.2,4841,121,14,63.7,17.4,83.7
2008,"All Weapons Combined","4",4,6377,737,11.6,41324,522,206,63.5,25.8,85.1
2008,"Any Weapon","4A",5,843,197,23.4,5653,141,54,58.5,22.5,87.7
2008,"Archery","4A",5,87,4,4.6,729,1,3,0,0,100
2008,"Muzzleloader","4A",5,10,2,20,48,2,,100,0,50
2008,"All Weapons Combined","4A",5,940,203,21.6,6430,144,57,58.4,22.2,87.6
2008,"Any Weapon","5",6,2282,844,37,16228,649,190,68.8,26.6,98.7
2008,"Archery","5",6,216,33,15.4,1664,20,13,89.7,69.1,100
2008,"Muzzleloader","5",6,4,1,25,10,1,,100,0,0
2008,"All Weapons Combined","5",6,2502,879,35.1,17901,671,203,69.4,27.8,98.6
2008,"Any Weapon","6",7,3188,870,27.3,23306,620,247,63,21.2,93.5
2008,"Archery","6",7,249,19,7.8,2011,6,13,66.7,16.7,100
2008,"Muzzleloader","6",7,20,1,4.9,65,,1,,,100
2008,"All Weapons Combined","6",7,3459,891,25.8,25382,626,262,63,21.2,93.7
2008,"Any Weapon","7",8,598,68,11.4,3573,64,3,53.6,12.5,69.2
2008,"Archery","7",8,112,2,1.8,856,1,1,0,0,50
2008,"Muzzleloader","7",8,158,26,16.7,828,23,3,29.9,12.8,41.6
2008,"All Weapons Combined","7",8,869,97,11.2,5257,89,7,46.7,12.4,61.3
2008,"Any Weapon","8",9,2746,1049,38.2,17016,754,289,69.9,22.5,96.3
2008,"Archery","8",9,84,7,8.3,795,7,,85.7,71.4,100
2008,"Muzzleloader","8",9,18,11,65.1,104,5,6,40,20,100
2008,"All Weapons Combined","8",9,2848,1067,37.5,17915,766,295,69.8,22.9,96.4
2008,"Any Weapon","8A",10,4540,1501,33.1,31246,1149,348,74,26.8,98.2
2008,"Archery","8A",10,154,7,4.6,1135,5,2,100,40,100
2008,"Muzzleloader","8A",10,152,34,22.6,542,2,32,50,0,97.1
2008,"All Weapons Combined","8A",10,4846,1543,31.8,32923,1156,382,74.1,26.8,98.2
2008,"Any Weapon","9",11,120,9,7.5,1193,5,3,40,20,77.8
2008,"Archery","9",11,28,0,0,199,,,,,
2008,"Muzzleloader","9",11,6,1,16.7,23,1,,100,0,100
2008,"All Weapons Combined","9",11,153,10,6.5,1415,6,3,50,16.7,80
2008,"Any Weapon","10",13,688,180,26.2,4524,156,23,64.7,28.4,81.7
2008,"Archery","10",13,32,2,6.2,231,2,,0,0,0
2008,"Muzzleloader","10",13,2,1,50,6,,1,,,100
2008,"All Weapons Combined","10",13,722,183,25.3,4761,158,24,63.8,28.1,80.9
2008,"Any Weapon","10A",14,6102,2349,38.5,45636,1767,570,71,27.6,97.9
2008,"Archery","10A",14,300,22,7.5,2809,18,4,48.8,32.5,91.1
2008,"Muzzleloader","10A",14,271,56,20.6,1202,4,52,66.7,33.3,100
2008,"All Weapons Combined","10A",14,6674,2429,36.4,49647,1789,626,70.7,27.7,97.9
2008,"Any Weapon","11",15,2100,705,33.6,11859,529,173,71.8,33,99
2008,"Archery","11",15,10,1,9.6,87,1,,100,100,100
2008,"Muzzleloader","11",15,0,1,,0,1,,100,0,100
2008,"All Weapons Combined","11",15,2111,707,33.5,11946,531,173,71.9,33.1,99
2008,"Any Weapon","11A",16,2685,1196,44.5,15086,942,248,71.7,29,99.8
2008,"Archery","11A",16,94,7,7.4,611,7,,71.4,28.6,85.7
2008,"Muzzleloader","11A",16,6,1,15.5,13,,1,,,100
2008,"All Weapons Combined","11A",16,2785,1205,43.3,15710,949,249,71.7,29,99.8
2008,"Any Weapon","12",17,246,46,18.8,1261,36,9,80.7,13.8,72.4
2008,"Archery","12",17,14,1,7.1,129,,1,,,0
2008,"Muzzleloader","12",17,1,0,0,1,,,,,
2008,"All Weapons Combined","12",17,261,47,18,1391,36,10,80.7,13.8,70.9
2008,"Any Weapon","13",18,428,171,40,2180,112,59,64.8,34.1,100
2008,"Archery","13",18,8,1,11.8,18,1,,100,0,100
2008,"Muzzleloader","13",18,0,0,,0,0,0,,,
2008,"All Weapons Combined","13",18,436,172,39.4,2197,113,59,65.1,33.8,100
2008,"Any Weapon","14",19,1281,338,26.4,6348,258,67,47.6,20.8,98.5
2008,"Archery","14",19,5,2,40,25,2,,50,0,100
2008,"Muzzleloader","14",19,12,3,25,55,3,,33.3,0,100
2008,"All Weapons Combined","14",19,1299,343,26.4,6428,263,67,47.4,20.4,98.5
2008,"Any Weapon","15",20,2319,939,40.5,14302,626,308,54,17.1,98.2
2008,"Archery","15",20,354,102,28.7,2910,71,30,67,20.7,99
2008,"Muzzleloader","15",20,8,2,25,34,1,1,0,0,100
2008,"All Weapons Combined","15",20,2682,1042,38.9,17245,698,339,55.2,17.5,98.3
2008,"Any Weapon","16",21,955,446,46.7,5380,339,103,61.5,17.2,94.7
2008,"Archery","16",21,5,2,40,21,1,1,0,0,100
2008,"Muzzleloader","16",21,204,59,29,962,50,9,55.9,22,100
2008,"All Weapons Combined","16",21,1164,507,43.6,6363,390,113,60.6,17.8,95.4
2008,"Any Weapon","16A",22,255,88,34.5,1468,75,12,65,30.2,89.8
2008,"Archery","16A",22,8,0,0,54,,,,,
2008,"Muzzleloader","16A",22,1,0,0,7,,,,,
2008,"All Weapons Combined","16A",22,265,88,33.2,1529,75,12,65,30.2,89.8
2008,"Any Weapon","17",23,518,124,23.9,3752,97,24,61.1,18.6,35.5
2008,"Archery","17",23,9,7,77.2,59,,7,,,100
2008,"Muzzleloader","17",23,0,0,,0,0,0,,,
2008,"All Weapons Combined","17",23,527,131,24.9,3810,97,31,61.1,18.6,38.8
2008,"Any Weapon","18",24,657,214,32.5,2907,175,31,65.4,18.6,99.5
2008,"Archery","18",24,16,1,6.4,55,1,,100,100,100
2008,"Muzzleloader","18",24,0,0,,0,0,0,,,
2008,"All Weapons Combined","18",24,673,215,31.9,2962,176,31,65.6,19,99.5
2008,"Any Weapon","19",25,338,85,25.1,2028,70,15,49.4,10,14.1
2008,"Archery","19",25,30,1,3.3,343,1,,100,100,0
2008,"Muzzleloader","19",25,2,0,0,4,,,,,
2008,"All Weapons Combined","19",25,371,86,23.2,2375,71,15,50.1,11.3,13.9
2008,"Any Weapon","19A",26,406,58,14.3,2147,47,9,27.4,4.2,18
2008,"Archery","19A",26,77,7,9.1,614,4,3,25,0,14.3
2008,"Muzzleloader","19A",26,1,0,0,2,,,,,
2008,"All Weapons Combined","19A",26,484,65,13.4,2764,51,12,27.2,3.9,17.6
2008,"Any Weapon","20",27,306,56,18.4,2186,49,6,54.6,24.3,43.3
2008,"Archery","20",27,0,0,,0,0,0,,,
2008,"Muzzleloader","20",27,0,0,,0,0,0,,,
2008,"All Weapons Combined","20",27,306,56,18.3,2186,49,6,54.6,24.3,43.3
2008,"Any Weapon","20A",28,258,47,18.4,1619,43,3,53,11.5,31.6
2008,"Archery","20A",28,1,1,100,10,,1,,,0
2008,"Muzzleloader","20A",28,0,0,,0,0,0,,,
2008,"All Weapons Combined","20A",28,259,48,18.5,1629,43,4,53,11.5,31
2008,"Any Weapon","21",29,550,142,25.8,3108,138,3,42.9,8.7,7
2008,"Archery","21",29,50,17,34.8,516,3,14,66.7,33.3,11.6
2008,"Muzzleloader","21",29,3,1,33.3,17,1,,100,0,100
2008,"All Weapons Combined","21",29,602,160,26.6,3641,142,17,43.8,9.2,8.1
2008,"Any Weapon","21A",30,597,175,29.3,2943,167,6,39.4,12.3,13.4
2008,"Archery","21A",30,57,8,14,421,2,6,50,0,12.5
2008,"Muzzleloader","21A",30,16,5,31.2,90,3,2,66.7,33.3,100
2008,"All Weapons Combined","21A",30,671,188,28,3458,172,14,40,12.5,15.7
2008,"Any Weapon","22",31,1058,262,24.7,4344,191,68,3.2,0.5,4.2
2008,"Archery","22",31,244,57,23.5,1904,14,43,0,0,0
2008,"Muzzleloader","22",31,1,0,0,7,,,,,
2008,"All Weapons Combined","22",31,1304,319,24.5,6255,205,111,3,0.5,3.4
2008,"Any Weapon","23",32,1887,443,23.5,11000,390,49,47,11.9,32.6
2008,"Archery","23",32,356,71,20,2773,25,45,56.7,41,7
2008,"Muzzleloader","23",32,29,4,13.9,85,3,1,0,0,0
2008,"All Weapons Combined","23",32,2272,519,22.8,13859,418,95,47.3,13.6,28.8
