"Year","TakeMethod","Unit","UnitID","Hunters","Harvest","Success","Days","Antlered","Antlerless","%4+Pts","%5+Pts","%Whitetail"
2004,"Any Weapon","1",1,6846,2792,40.8,44357,2143,640,57.7,25.6,86
2004,"Archery","1",1,605,55,9.1,4405,38,17,76.3,42.1,87
2004,"Muzzleloader","1",1,39,9,23.1,65,5,4,40,0,89
2004,"All Weapons Combined","1",1,7490,2893,38.6,48828,2215,667,57.9,25.8,
2004,"Any Weapon","2",2,2622,848,32.3,16427,660,186,65.3,27.9,97
2004,"Archery","2",2,245,28,11.4,1358,18,10,61.1,38.9,100
2004,"Muzzleloader","2",2,13,4,30.8,17,4,0,25,25,100
2004,"All Weapons Combined","2",2,2880,887,30.8,17802,686,199,64.6,28,
2004,"Any Weapon","3",3,3612,1159,32.1,19325,870,286,57.7,28.7,98
2004,"Archery","3",3,405,31,7.7,3195,18,13,55.6,22.2,90
2004,"Muzzleloader","3",3,30,2,6.7,96,1,1,0,0,100
2004,"All Weapons Combined","3",3,4047,1210,29.9,22616,901,306,57.4,28.2,
2004,"Any Weapon","4",4,4115,660,16,24835,463,195,45.4,17.5,77
2004,"Archery","4",4,692,38,5.5,4769,27,11,25.9,18.5,76
2004,"Muzzleloader","4",4,764,129,16.9,3533,100,30,67,37,88
2004,"All Weapons Combined","4",4,5571,835,15,33138,592,241,48.5,20.8,
2004,"Any Weapon","4A",5,537,122,22.7,2562,101,21,58.4,28.7,88
2004,"Archery","4A",5,56,3,5.4,422,3,0,66.7,66.7,100
2004,"Muzzleloader","4A",5,9,1,11.1,28,0,1,0,0,100
2004,"All Weapons Combined","4A",5,601,134,22.3,3012,111,23,58.6,28.8,
2004,"Any Weapon","5",6,1662,729,43.9,10326,543,186,64.1,28.9,98
2004,"Archery","5",6,126,13,10.3,593,11,2,63.6,18.2,92
2004,"Muzzleloader","5",6,5,3,60,27,3,0,66.7,33.3,100
2004,"All Weapons Combined","5",6,1794,754,42,10946,562,192,64.2,28.6,
2004,"Any Weapon","6",7,2143,777,36.3,13129,628,144,66.6,29.5,91
2004,"Archery","6",7,255,14,5.5,1867,11,3,54.5,36.4,64
2004,"Muzzleloader","6",7,25,1,4,63,1,0,100,100,100
2004,"All Weapons Combined","6",7,2422,803,33.2,15059,647,150,66.2,29.5,
2004,"Any Weapon","7",8,604,121,20,3120,107,13,60.7,19.6,36
2004,"Archery","7",8,134,9,6.7,1057,6,3,50,0,33
2004,"Muzzleloader","7",8,195,23,11.8,852,21,2,76.2,42.9,70
2004,"All Weapons Combined","7",8,932,155,16.6,5030,136,18,61.8,22.1,
2004,"Any Weapon","8",9,2238,874,39.1,13872,604,264,59.4,21.9,94
2004,"Archery","8",9,52,4,7.7,327,4,0,50,0,100
2004,"Muzzleloader","8",9,14,1,7.1,36,1,0,100,0,100
2004,"All Weapons Combined","8",9,2304,887,38.5,14235,612,269,59.5,21.6,
2004,"Any Weapon","8A",10,4414,1622,36.7,28914,1171,445,66.4,27.3,95
2004,"Archery","8A",10,216,6,2.8,1391,4,2,75,25,100
2004,"Muzzleloader","8A",10,238,42,17.6,767,10,32,60,30,95
2004,"All Weapons Combined","8A",10,4868,1682,34.6,31072,1194,480,66.5,27.4,
2004,"Any Weapon","9",11,93,14,15.1,565,13,1,38.5,15.4,29
2004,"Archery","9",11,23,1,4.3,194,0,1,0,0,100
2004,"Muzzleloader","9",11,1,0,0,2,0,0,0,0,0
2004,"All Weapons Combined","9",11,117,15,12.8,761,13,2,38.5,15.4,
2004,"Any Weapon","10",13,667,162,24.3,3703,134,25,56.7,31.3,84
2004,"Archery","10",13,23,1,4.3,162,1,0,100,0,100
2004,"Muzzleloader","10",13,8,0,0,30,0,0,0,0,0
2004,"All Weapons Combined","10",13,698,166,23.8,3895,135,28,57,31.1,
2004,"Any Weapon","10A",14,5424,2230,41.1,35824,1754,458,63.2,25.5,96
2004,"Archery","10A",14,280,8,2.9,2452,6,2,66.7,16.7,100
2004,"Muzzleloader","10A",14,349,91,26.1,1508,11,79,63.6,0,96
2004,"All Weapons Combined","10A",14,6053,2361,39,39784,1794,547,63.1,25.4,
2004,"Any Weapon","11",15,1535,565,36.8,8524,463,101,62.2,25.7,99
2004,"Archery","11",15,8,0,0,58,0,0,0,0,0
2004,"Muzzleloader","11",15,2,0,0,4,0,0,0,0,0
2004,"All Weapons Combined","11",15,1545,571,37,8586,467,102,62.5,25.7,
2004,"Any Weapon","11A",16,1870,822,44,9791,634,185,67,25.6,98
2004,"Archery","11A",16,79,15,19,443,13,2,69.2,30.8,60
2004,"Muzzleloader","11A",16,3,0,0,6,0,0,0,0,0
2004,"All Weapons Combined","11A",16,1951,842,43.2,10241,650,189,66.9,25.7,
2004,"Any Weapon","12",17,417,155,37.2,2653,115,39,73,27,74
2004,"Archery","12",17,34,2,5.9,318,1,1,0,0,100
2004,"Muzzleloader","12",17,2,0,0,4,0,0,0,0,0
2004,"All Weapons Combined","12",17,452,160,35.4,2975,118,41,71.2,26.3,
2004,"Any Weapon","13",18,298,125,41.9,1609,106,18,50,15.1,71
2004,"Archery","13",18,1,0,0,7,0,0,0,0,0
2004,"Muzzleloader","13",18,0,0,0,0,0,0,0,0,0
2004,"All Weapons Combined","13",18,299,126,42.1,1616,106,19,50,15.1,
2004,"Any Weapon","14",19,1131,283,25,5269,237,44,63.7,27.8,92
2004,"Archery","14",19,8,1,12.5,52,1,0,0,0,100
2004,"Muzzleloader","14",19,22,4,18.2,36,4,0,50,25,100
2004,"All Weapons Combined","14",19,1160,298,25.7,5357,250,45,62.4,27.6,
2004,"Any Weapon","15",20,2202,984,44.7,12207,774,209,56.5,22.5,94
2004,"Archery","15",20,332,65,19.6,2506,42,23,61.9,33.3,98
2004,"Muzzleloader","15",20,26,4,15.4,46,4,0,25,25,75
2004,"All Weapons Combined","15",20,2559,1061,41.5,14758,828,232,56.5,23.2,
2004,"Any Weapon","16",21,912,379,41.6,4639,315,61,53.7,17.1,97
2004,"Archery","16",21,6,1,16.7,56,1,0,100,0,100
2004,"Muzzleloader","16",21,249,58,23.3,927,44,14,56.8,15.9,95
2004,"All Weapons Combined","16",21,1166,443,38,5622,364,75,53.8,17,
2004,"Any Weapon","16A",22,184,44,23.9,1176,36,8,50,11.1,77
2004,"Archery","16A",22,4,0,0,19,0,0,0,0,0
2004,"Muzzleloader","16A",22,7,2,28.6,28,1,1,100,100,100
2004,"All Weapons Combined","16A",22,195,47,24.1,1223,37,10,51.4,13.5,
2004,"Any Weapon","17",23,473,177,37.4,3402,157,17,73.2,31.2,35
2004,"Archery","17",23,5,0,0,27,0,0,0,0,0
2004,"Muzzleloader","17",23,2,0,0,6,0,0,0,0,0
2004,"All Weapons Combined","17",23,480,180,37.5,3435,159,18,72.3,30.8,
2004,"Any Weapon","18",24,542,216,39.9,2393,184,31,67.9,27.2,97
2004,"Archery","18",24,1,0,0,3,0,0,0,0,0
2004,"Muzzleloader","18",24,1,0,0,16,0,0,0,0,0
2004,"All Weapons Combined","18",24,544,218,40.1,2412,184,32,67.9,27.2,
2004,"Any Weapon","19",25,284,108,38,1613,95,12,67.4,15.8,13
2004,"Archery","19",25,4,2,50,25,1,1,100,0,0
2004,"Muzzleloader","19",25,0,0,0,0,0,0,0,0,0
2004,"All Weapons Combined","19",25,288,111,38.5,1638,96,13,67.7,15.6,
2004,"Any Weapon","19A",26,397,125,31.5,2101,114,11,30.7,11.4,8
2004,"Archery","19A",26,29,5,17.2,189,2,3,50,0,60
2004,"Muzzleloader","19A",26,0,0,0,0,0,0,0,0,0
2004,"All Weapons Combined","19A",26,426,135,31.7,2290,121,14,29.8,10.7,
2004,"Any Weapon","20",27,305,78,25.6,1908,62,15,64.5,33.9,40
2004,"Archery","20",27,1,0,0,0,0,0,0,0,0
2004,"Muzzleloader","20",27,2,0,0,3,0,0,0,0,0
2004,"All Weapons Combined","20",27,308,81,26.3,1911,65,15,66.2,32.3,
2004,"Any Weapon","20A",28,208,58,27.9,1273,58,0,60.3,32.8,5
2004,"Archery","20A",28,3,0,0,43,0,0,0,0,0
2004,"Muzzleloader","20A",28,0,0,0,0,0,0,0,0,0
2004,"All Weapons Combined","20A",28,211,61,28.9,1316,60,0,61.7,35,
2004,"Any Weapon","21",29,459,121,26.4,2283,119,1,27.7,1.7,5
2004,"Archery","21",29,40,9,22.5,342,8,1,12.5,0,22
2004,"Muzzleloader","21",29,0,0,0,0,0,0,0,0,0
2004,"All Weapons Combined","21",29,499,133,26.7,2625,130,2,26.9,1.5,
2004,"Any Weapon","21A",30,434,137,31.6,2258,137,0,43.8,7.3,4
2004,"Archery","21A",30,21,2,9.5,189,2,0,0,0,0
2004,"Muzzleloader","21A",30,0,0,0,0,0,0,0,0,0
2004,"All Weapons Combined","21A",30,455,143,31.4,2447,142,0,43.7,7,
2004,"Any Weapon","22",31,2216,632,28.5,9285,495,134,28.7,4.6,6
2004,"Archery","22",31,307,72,23.5,2239,41,31,48.8,7.3,6
2004,"Muzzleloader","22",31,4,0,0,6,0,0,0,0,0
2004,"All Weapons Combined","22",31,2527,714,28.3,11531,542,167,30.1,4.8,
2004,"Any Weapon","23",32,1775,555,31.3,9412,453,97,38.6,9.7,24
2004,"Archery","23",32,326,70,21.5,2280,33,37,18.2,3,3
2004,"Muzzleloader","23",32,7,0,0,74,0,0,0,0,0
2004,"All Weapons Combined","23",32,2109,636,30.2,11766,495,135,37.6,9.5,
2004,"Any Weapon","24",33,1931,330,17.1,9791,242,86,22.7,4.1,9
